Quý,Năm,Tiền,ĐTNH,PTKH,TTNB,PTNHK,DPPTKĐ,HTK,DPGG,TSNHK,PTDH,TSCĐ,Khấu hao ,BĐS ĐT,TSDD,ĐTTCDH,TSDHK,Nợ NH,Nợ DH,Vốn CP,TD Vốn,Quỹ,LNST
1,2010,220682000,2401905000,578542000,174169000,144630000,615000,1746920000,8470000,272360000,40000,3390841000,1409449000,90941000,657240000,596333000,165013000,1882322000,247764000,3530721000,,1887231000,1103493000
2,2010,452083174,2545265502,668216906,158404729,151402491,502864,2255592575,5258656,91839316,34883,3401461496,1415848519,73308273,863863508,1266259540,173015642,2915226047,418218236,3530721000,,1920237269,1542052873
3,2010,276311553,1329650960,756322776,481513936,194097850,621145,2076076803,3515991,87989915,29462,3633747373,1437992841,74229262,677016001,1577802336,154883313,2418313401,153526250,3530721000,,2069103622,1353402406
4,2010,234843207,2092259762,595420415,340411981,183818883,576144,2276752660,4102608,85569703,23624,3887162382,1482482698,73328395,653359231,1659632386,158885645,2643646520,159703817,3530721000,,2172290789,1895541229
1,2011,223197137,2318112626,788437860,421542341,295158975,1673974,3185278170,6189644,97440871,18203,4915943600,1693057719,102249903,321731361,1122378110,164694491,3180616801,194724611,3565706400,,2316276728,2667345777
2,2011,182307039,3129069564,994443818,770375126,260559449,1239692,3982755379,5235201,131530388,10098,4521629088,1646782611,73801364,558139748,1141798415,96517593,3248164249,143679980,3708255500,1276994100,2468173865,3463487391
3,2011,1986287919,1215965326,978114528,960365329,239333930,1301794,3474086272,4707770,130940229,,5237076480,1853574169,100331126,886397988,859193002,111441016,2649498709,146597798,3708255500,1276994100,2612906109,3572151385
4,2011,3101435901,736033188,1152632033,743668199,232545166,1897595,3191726002,4933906,127951033,,5124899665,1774776812,73182137,1221103883,1550368535,90380695,2993592789,158577153,5561147540,1276994100,908024236,4112389346
1,2012,2983283071,632275956,1376181804,773152240,237477232,2916123,3899695120,4100318,184323773,,5864008753,2049814764,99682062,2347411233,895144342,106760162,3577982226,158758974,5561147540,1276994100,1085493695,5144310234
2,2012,2123112215,931730788,1586019541,603887721,218334654,3914408,4194593993,4639635,300859666,,5710505252,1978206545,71203688,2796941827,1351441237,143581544,4110052166,158687228,5561147540,1276994100,1287543063,1287543063
3,2012,540917231,2029334564,1227517630,783753353,368069124,3869687,3414183180,4282019,230981773,,6008442503,2083268496,70214463,3001400248,1455011877,125439702,3052802438,192501817,5561147540,1276994100,1484445131,5044262223
4,2012,1252120160,3909275954,1269841759,576619318,403754490,3852583,3476300517,3455165,230005737,,6900055339,2422996223,96714389,3565241433,284428762,150152345,4144990303,59781521,8339557960,1276994100,1276994100,5198757611
1,2013,1599413912,3926641975,1187990507,724874655,388798743,5699196,3663338724,4381532,246701316,,6561407247,2312815686,68236014,3348184423,1018801789,111333558,3697276260,59308646,8339557960,1276994100,297685912,6191994750
2,2013,716646310,4690836761,1491372884,583806378,252830058,5681496,3781493467,3332976,277720833,,8291767047,4311547531,67240495,1987926689,1133213726,174820837,4036406617,69644176,8339557960,1276994100,539193296,5999254302
3,2013,1610374924,3869716691,1742146600,456512247,277358929,1925208,3145896413,3504492,246136729,,10083417870,2618428610,107232051,319373041,1066126656,222545400,3712553573,69448551,8339557960,1276994100,764826880,5530596033
4,2013,2649635556,4167317622,1739619472,305461174,406739802,1920158,3027125150,10376905,132336859,736666,10194354085,2820394966,106022395,260702889,1474193337,251369803,4427923145,70192694,8339557960,1276994100,950237983,5989129613
1,2014,1527875428,7467962935,1988614362,420615080,368425283,5917834,3633231617,13124371,134627018,7395303,12474144824,4387749011,147725868,803688210,803688210,341541338,5453262931,516638646,10006413990,,1550028784,7157699467
2,2014,1219936043,5917347091,1682251662,297206010,265780237,6171963,4273413117,13643783,142173267,3698683,12252194126,3929836196,103600345,499077365,494551977,362797037,4624642854,494868259,8339557960,1276994100,1239815387,6866599920
3,2014,467837032,6006926758,1484603394,282938541,278761536,2511433,3280711155,14207530,14207530,6442492,10436932722,3450119892,102386583,270548738,3046199137,339534714,4592387042,77094779,10006413990,,1378181089,5637261946
4,2014,5637261946,7414562935,1745599580,368348817,350794021,2507733,3389805269,12977886,46125976,7395303,10449528159,3627291269,144512770,284106071,2316875997,308937004,4956652265,77125219,10006413990,,1550028784,6926119661
